Acetilcolina,Neurotransmisor que participa en la contracción muscular.,Bioquímica
Ácido ascórbico,Nombre químico de la vitamina C.,Vitaminas
Ácido fólico,Vitamina B9 importante para el desarrollo fetal.,General
Ácido graso,Componente básico de los lípidos.,Bioquímica
Ácido hialurónico,Polisacárido presente en tejidos conectivos.,Bioquímica
Ácido láctico,Producto del metabolismo anaeróbico.,Bioquímica
Ácido pantoténico,Vitamina B5 esencial para el metabolismo.,General
Adrenalina,Hormona que prepara al cuerpo para la acción.,Hormonas
Alanina,Aminoácido no esencial para la producción de energía.,Aminoácidos
Albumina,Proteína principal del plasma sanguíneo.,Bioquímica
Aldosterona,Hormona que regula el sodio y potasio.,Hormonas
Alergia alimentaria,Respuesta inmune exagerada a un alimento.,Patología
Alimento funcional,Alimento que aporta beneficios adicionales a la salud.,Alimentos
Alimento mínimamente procesado,Alimento que conserva la mayor parte de sus propiedades originales.,Alimentos
Alimento orgánico,Alimento producido sin pesticidas ni químicos.,Alimentos
Alimento transgénico,Alimento modificado genéticamente.,Alimentos
Alimento ultraprocesado,Alimento industrializado con muchos aditivos.,Alimentos
Almidón,Polisacárido presente en cereales y tubérculos.,Alimentos
Amilasa,Enzima que descompone almidones.,Enzimas
Aminoácido,Unidad básica de las proteínas.,Bioquímica
Anabolismo,Conjunto de procesos de síntesis en el organismo.,Bioquímica
Anemia,Disminución de la concentración de hemoglobina en la sangre.,Patología
Angiotensina,Regula la presión arterial.,Hormonas
Anorexia,Trastorno alimentario caracterizado por restricción extrema de alimentos.,Patología
Anticuerpo,Proteína que reconoce y neutraliza antígenos.,Bioquímica
Antígeno,Sustancia que provoca respuesta inmune.,Bioquímica
Antioxidante,Sustancia que ayuda a prevenir el daño celular causado por los radicales libres.,Bioquímica
Apetito,Deseo de comer.,General
Arginina,Aminoácido involucrado en la síntesis de óxido nítrico.,Aminoácidos
Aspartato,Aminoácido no esencial para el metabolismo energético.,Aminoácidos
Ayuno intermitente,Patrón alimentario que alterna periodos de ayuno y comida.,General
Ayuno,Periodo voluntario sin ingesta de alimentos.,General
Azufre,Elemento presente en algunos aminoácidos.,Minerales
Balance energético,Diferencia entre calorías consumidas y gastadas.,General
Beta-caroteno,Precursor vegetal de la vitamina A.,Alimentos
Beta-oxidación,Degradación de ácidos grasos para obtener energía.,Bioquímica
Biotina,Vitamina B7 necesaria para el metabolismo de grasas y carbohidratos.,General
Bulimia,Trastorno alimentario caracterizado por episodios de ingesta excesiva y purgas.,Patología
Calciferol,Nombre químico de la vitamina D.,Vitaminas
Calcio,Mineral necesario para huesos y dientes fuertes.,General
Calcitonina,Hormona que disminuye el calcio en sangre.,Hormonas
Caloría,Unidad de energía que se utiliza para medir el valor energético de los alimentos.,General
Carbohidrato,Principal fuente de energía para el cuerpo.,General
Carboxilasa,Enzima que añade grupos carboxilo.,Enzimas
